Code,Name,Synonyms,Problem
SM8B,- - - - - Urinary incontinence disorder (TM2),(a) v?tabasti? (b) Ci?un?ri? m??utalka? (c) Salas al-Bawl,
SM8C,- - - - - Urinary stone disorder (TM2),(a) a?mar? (b) Kalla?aippu (c) H?as?? wa Raml al-Kulya,
SM8D,- - - - - Polyuria disorder (TM2),(a) prameha? (b) N?ri?aipperukkal n?yka? (c) Kathra al-Bawl,
SM8E,- - - - - Oliguria disorder (TM2),(a) m?trasa?k?aya? Anuria (TM2) (c) Qilla al-Bawl,
SM8Y,- - - - - Other specified urinary system disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM8Z,"- - - - - Urinary system disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Female Reproductive System disorders (TM2),,Skipped: Invalid or empty code
SM90,- - - - - Amenorrhoea disorder (TM2),(a) arajask? (b) Kukara?a mey c?takata?ai (c) Ih?tib?s al-Tamth (a) rajon??a? / nas?t?a?rtava / ana?rtava,
SM91,- - - - - Endocervicitis disorder (TM2),(a) kar?in? (b) Karuppaik ka?untu u?pu?a a?a?ci,
SM92,- - - - - Bartholin's cyst disorder (TM2),(a) yonikanda? (b) Surappikallutaiya Athaippu,
SM93,- - - - - Leucorrhoea disorder (TM2),(a) ?vetapradara? (b) Ve??ai n?y (c) Sayal?n al-Rah?im,
SM94,- - - - - Female infertility disorder (TM2),(a) vandhy? (b) Pe? mala?u (c) ‘Uqr,
SM95,- - - - - Vaginitis disorder (TM2),(a) pariplut? (b) Y??i t?pitam,
SM96,- - - - - Dysmenorrhoea disorder (TM2),(a) ud?vartin? (b) C?taka Va?i (c) ‘Usr al-Tamth (a) Kashtartawa,
SM97,- - - - - Hypomenorrhoea disorder (TM2),(a) lohitak?ay? (c) Qillat-i-Tamth,
SM98,- - - - - Dysfunctional uterine bleeding disorder (TM2),(a) as?gdara? (b) Ac?t?ra?a perump??u (c) Kathrat-i-H?ayd? (c) kethrat-e tamth (a) Raktapradar,
SM99,- - - - - Uterine polyps disorder (TM2),(a) yoni-ar?a? (b) Karuppai k?mpu ka?alai (c) Baw?s?r al-Rah?im,
SM9A,- - - - - Uterine prolapse disorder (TM2),(a) mah?yoni? (b) Karuppai a?itta??al (c) Inzil?q al-Rah?im (a) viv?t? (c) Nut?’ al-Ra?im,
SM9B,- - - - - Vaginismus disorder (TM2),(a) viplut? (b) C?lai Yo??i,
SM9C,- - - - - Metritis disorder (TM2),(a) makkalla? (b) Karuppai u?kavaca t?pitam (c) Waram al-Rah?im,
SM9Y,- - - - - Other specified female Reproductive System disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM9Z,"- - - - - Female Reproductive System disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Male Reproductive System disorders (TM2),,Skipped: Invalid or empty code
SN00,- - - - - Balanitis disorder (TM2),(a) me?hrap?ka? (b) Aiya Kalla?aippu (c) Waram al-Qad??b inflammation of the penis,
SN01,- - - - - Hydrocele disorder (TM2),(a) v?ddhi? (b) Tantira ve??i v?tam (c) Q?la M?’iyya,
SN02,- - - - - Erectile dysfunction disorder (TM2),(a) klaibyam (b) V?riyami?mai (c) Istirkh?’ al-Qad??b,
SN03,- - - - - Oligospermia disorder (TM2),(a) ?ukrak?aya? (b) ?? mala?u (c) Qilla al-Man?,
SN04,- - - - - Mustard- size boils on penis disorder (TM2),(a) sar?apik? (b) Ka?uku koppu?am,
SN05,- - - - - Orchitis disorder (TM2),(b) P?jastampa v?tam (c) Waram al-Khus?yatayn (c) Waram al- Unthayayn,
SN06,- - - - - Penile growth disorder (TM2),(a) me?hraja-ar?a? (b) T?maraikk?ytta?ippu (c) Tha’?l?l al-Dhakar,
SN07,- - - - - Priapism disorder (TM2),(a) ?ephastambha? (c) Far?sm?s (c) Ifr?t? al-Nu‘?z? (b) Timirkku?ippu?,
SN08,- - - - - Prostatic enlargement disorder (TM2),(a) v?t???h?l? (c) Iz?am-i-Ghudda'-i-Madh? Benign enlargement of the prostate (TM2) (b) Cataiya?aippu,
SN09,- - - - - Spermatorrhoea disorder (TM2),(a) m?tra?ukra? (b) Ve???r (c) Jaray?n (b) tava?a n?r,
SN0A,- - - - - Phimosis disorder (TM2),(a) niruddhapraka?a? (b) T?l ta?aippu?,
SN0Y,- - - - - Other specified male Reproductive System disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SN0Z,"- - - - - Male Reproductive System disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Pregnancy and childbirth related disorders (TM2),,Skipped: Invalid or empty code
SN10,- - - - - Decreased breastmilk disorder (TM2),(a) stanyak?aya? (c) Qilla al-Laban,
SN11,- - - - - Vitiated breast milk disorder (TM2),(a) stanyadu??i? (b) P?l etire?uttal,
SN12,- - - - - Recurrent pregnancy loss disorder (TM2),(a) j?taghn? (b) Ku?a avat??akam (c) Isq?t? ‘?d?,
SN1Y,- - - - - Other specified pregnancy and childbirth related disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SN1Z,"- - - - - Pregnancy and childbirth related disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SN30,- - - - Gonorrhoea disorder (TM2),"(a) upada??a? (b) Korukku n?y (c) Soz?k (c) Sayal?n Zuhr?, (c) H?urqa, (c) Al-Nak?l, (c) ‘Uq?ba",
SN31,- - - - Syphillis disorder (TM2),"(a) phira?garoga (b) Ve??ai n?y (c) ?tshak (c) ?bla Farang, (c) D?arma, (c) S?‘?r, (c) Al-Afranj? (c) B?d Farang, (c) Al-Khaj?l, (c) Qarh?a S?ulba, (c) Koft",
SN3Y,- - - - Other specified urinary and reproductive system disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SN3Z,"- - - - Urinary and reproductive system disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,"- - - Skin, nail and hair disorders (TM2)",,Skipped: Invalid or empty code
,- - - - Skin disorders (TM2),,Skipped: Invalid or empty code
SN40,- - - - - Dermatitis disorder (TM2),(a) rakas? (b) Karapp?? pittam,
SN41,- - - - - Discoloration of body disorder (TM2),(a) k?r??yam (b) Valli Nhooyaallar Utal Nhirram (c) Fas?d al-Lawn,
SN42,- - - - - Dryness of skin disorder (TM2),(a) rauk?yam (b) T?l va?a?ci (c) Shuq?q al-At?r?f wa’l Wajh,
SN43,- - - - - Eczema disorder (TM2),"(a) vicarcik? (b) V?tak karapp?? (c) N?r F?rs? (c) Ch?jan, (c) Ukauta",
SN44,- - - - - Foul body smelling disorder (TM2),(a) a?ga-durgandha? (c) ‘Araq Muntin,
SN45,- - - - - Excess of sweat disorder (TM2),(a) svedav?ddhi? (b) Ativiyarvai (c) Kathra al-‘Araq (a) atisveda? (c) Ifr?? al-‘Araq,
SN46,- - - - - Scabies disorder (TM2),(a) p?m? (kacch?) (b) Co?i cira?ku (c) Jarab,
SN47,- - - - - Dracunculosis disorder (TM2),(a) sn?yukaroga? (c) ‘Irq Mad?n? (b) Kurutippu?,
SN48,- - - - - Intertrigo disorder (TM2),(a) alasa? (c) Mazah? (b) C???up pu?,
SN49,- - - - - Integumentary disorder (TM2),(a) dh?tugataku??ha? (b) Cira?kup perun?y (c) Judh?m (b) P?ma ku??am (c) Al-‘Illa al-Kubr?,
SN4A,- - - - - Psoriasis disorder (TM2),(a) sidhma? (b) K???ñcakappa?ai (c) Taqashshur al-Jild,
SN4B,- - - - - Ichthyosis disorder (TM2),(a) ekaku??ha? (c) Q?b? Mutaqashshir (b) Va?a?cik karapp??,
SN4C,- - - - - Scaling of scalp and forehead skin disorder (TM2),(a) ke?abh?misphu?anam (c) Qush?r al-Jabha (b) Ve? karapp??,
SN4D,- - - - - Vitiligo disorder (TM2),Leucoderma (TM2) (a) ?vitra? (b) Ve?pu??i (c) Baras?,
SN4E,- - - - - Lentigo disorder (TM2),,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
SN4F,- - - - - Birth mark - blackish red disorder (TM2),(a) jatuma?i? (c) Namash,
SN4G,- - - - - Melasma disorder (TM2),(a) vya?ga? (c) Kalaf (b) Kap?la karu?ku??am,
SN4H,- - - - - Mole disorder (TM2),(a) ma?aka? (b) Maccam (c) Kh?l?n,
SN4J,- - - - - Black red skin lesion disorder (TM2),(a) k?ka?aka? (b) Karu perun?y,
SN4K,- - - - - Urticaria disorder (TM2),(a) ??tapittam (b) K???kka?i (c) Shar?,
SN4L,- - - - - Wheal disorder (TM2),(a) ko?ha? (b) T?lta?ippu (c) Shar? Damaw?,
SN4M,- - - - - Boil disorder (TM2),(b) Koppu?am (c) Dummal,
SN4N,- - - - - Prickly heat disorder (TM2),(a) r?jik? (b) V?rkkuru (c) Buth?r Shawkiyya (c) H?as?af,
SN4P,- - - - - Pemphigus vulgaris disorder (TM2),(a) vispho?aka? (b) Koppu?a perun?y (c) Naff?t??t,
SN4Q,- - - - - Scar marks disorder (TM2),(b) Ta?umpu (c) ?th?r al-Qur?h? (c) athar-e jeld,
SN4R,- - - - - Roughness of skin disorder (TM2),(a) p?ru?yam (b) V?kkam (c) Taqashshuf al-Jild (b) ta?ippu,
SN4S,- - - - - Verruca disorder (TM2),(a) carmak?la? (b) Maru? (c) Tha’?l?l Warts (TM2),
SN4T,- - - - - Herpes disorder (TM2),(a) kak??? (b) Akki (c) Namla (c) S?‘iya,
SN4U,- - - - - Ring worm infection disorder (TM2),(a) dadru-ku??ha? (b) Pa?art?marai (c) Q?b?,
SN4V,- - - - - Acne disorder (TM2),"(a) yuv?napi?ak? (b) Mukapparu (c) Buth?r Labaniyya (c) H?abb al-Shab?b, (c) Buth?r Duhniyya, (c) Al-Ghudd al-Sh?’i‘",
SN4W,- - - - - Ulcer disorder (TM2),(a) vra?a? (b) Pu? (c) Jur?h?,
SN5Y,- - - - - Other specified skin disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SN5Z,"- - - - - Skin disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Nail disorders (TM2),,Skipped: Invalid or empty code
SN60,- - - - - Brittle nails disorder (TM2),(a) nakhabheda? (c) Z?ufra T?alqiyya,
SN6Y,- - - - - Other specified nail disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SN6Z,"- - - - - Nail disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Hair disorders (TM2),,Skipped: Invalid or empty code
SN70,- - - - - Furunculosis of scalp disorder (TM2),(a) ar???ik? (b) A?al kap?lak karapp??,
SN71,- - - - - Baldness disorder (TM2),(a) kh?lityam (b) Mayir utiral (c) S?ala‘,
SN72,- - - - - Folliculitis disorder (TM2),(a) ar???ik? (c) Sa‘fa,
SN73,- - - - - Premature greying of hair disorder (TM2),(a) ak?lapalita? (b) I?anarai (c) Shayb,
SN7Y,- - - - - Other specified hair disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SN7Z,"- - - - - Hair disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SN90,- - - - Patchy alopecia disorder (TM2),(a) indralupta? (b) Pu?uve??u (c) D?’ al-Tha‘lab Alopecia areata/Pelade,
SN91,- - - - Dandruff disorder (TM2),"(c) Baf? , (c) Hubayr? , (c) Qishr al-Ra’s , (c) H?ibriyya (a) d?ru?aka? (b) Po?uku, (b) Cu??u (c) H?az?z-o-Ibriyya",
SN92,- - - - Carbuncle disorder (TM2),(a) pi?ak? (b) Pi?avai (c) Jamra (c) Shab Chir?gh,
SN9Y,"- - - - Other specified skin, nail and hair disorders (TM2)",,Skipped: Invalid or missing entity ID in URL
SN9Z,"- - - - Skin, nail and hair disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,"- - - Bone, joint and muscle disorders (TM2)",,Skipped: Invalid or empty code
,- - - - Bone disorders (TM2),,Skipped: Invalid or empty code
SP00,- - - - - Osteoporosis disorder (TM2),"(a) asthi?o?a? (c) Wahn al-‘Iz??m (c) Takhalkhul al-‘Iz??m, (b) Takhaththur al-‘Iz??m Osteopenia (TM2) (b) E?pu kiranti",
SP0Y,- - - - - Other specified bone disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SP0Z,"- - - - - Bone disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Joint disorders (TM2),,Skipped: Invalid or empty code
SP10,- - - - - Polyarthritis disorder (TM2),(b) Cantu v?tam (c) waram-e mafsal (a) v?taraktam (b) V?tacur??itam (c) Waja‘ al-Maf?s?il,
SP11,- - - - - Rheumatism disorder (TM2),(a) ?mav?ta? (b) Va?ikk?lv?yu (c) H?ud?r,
SP12,- - - - - Osteoarthritis disorder (TM2),(a) sandhigatav?ta? (b) A?al k?l v?yu (c) Tah?ajjur wa S?al?ba al-Maf?s?il,
SP13,- - - - - Hip joint pain disorder (TM2),(a) ?ro?ibheda? (b) To?ai maiya varmam (c) Waja‘ al-Warik,
SP14,- - - - - Gout disorder (TM2),(a) pittaja-v?taraktam (b) V?takar?a?am (c) Niqris,
SP15,- - - - - Frozen shoulder disorder (TM2),(a) avab?huka? (b) Kumpa v?tam (c) Waja‘-i-Maf?al-i-Katif,
SP1Y,- - - - - Other specified joint disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SP1Z,"- - - - - Joint disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Muscle disorders (TM2),,Skipped: Invalid or empty code
SP20,"- - - - - Muscle pain, twisting disorder (TM2)",(a) khall? (b) Va?i c?lai (c) Tashannuj ?dh?’? twisting-pain on limbs,
SP21,- - - - - Atony disorder (TM2),(a) a?gavibhra??a? (c) Istirkh?’ (b) Miruttu v?tam,
SP2Y,- - - - - Other specified muscle disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SP2Z,"- - - - - Muscle disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SP40,- - - - Achillodynia disorder (TM2),(a) v?taka??akam (c) Waja‘ al-‘Aqib (b) Kutiv?tam,
SP41,- - - - Sciatica disorder (TM2),(a) g?dhras? (c) ‘Irq al-Nas? Lumbar radiculopathies (b) V?tastampam,
SP42,- - - - Lumbar spondylosis disorder (TM2),"(a) p???ha-graha? (b) Ta??aka v?tam (c) Waja‘ al-Z?ahr Stiff back (TM2), Backache (TM2) (a) kat?is?u?la (a) Kat?igraha",
SP43,- - - - Lumbo-sacroiliac disorder (TM2),(b) V?tastampam (c) Waja‘ al-Kh?s?ira,
SP44,- - - - Torticollis disorder (TM2),(a) many?stambha? (b) Pu?a Icivu,
SP45,- - - - Cervical spondylosis disorder (TM2),(a) gr?v?stambha? (b) Caka?a V?tam (c) Waja‘ al-‘Unuq,
SP4Y,"- - - - Other specified bone, joint and muscle disorders (TM2)",,Skipped: Invalid or missing entity ID in URL
SP4Z,"- - - - Bone, joint and muscle disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - Disorders affecting the whole body (TM2),,Skipped: Invalid or empty code
,- - - - Febricity disorders (TM2),,Skipped: Invalid or empty code
SP50,- - - - - Enteric fever disorder (TM2),(b) V?takapa curam (c) H?umm? Mi‘wiyya,
SP51,- - - - - Fever disorder (TM2),(a) jvara (b) Ta?va?i curam (c) H?umm?,
SP52,- - - - - Fever disorder with excessive salivation (TM2),(a) kaphajajvara? (b) Kapa curam (c) H?umm? Lathiqa (c) H?umm? Balghamiyya L?zima,
SP53,- - - - - High fever disorder with yellow discouloration (TM2),(a) paittikajvara? (b) Pitta curam (c) H?umm? al-Ghibb (c) T?rat??’?s,
SP54,- - - - - Fever with body pain disorder (TM2),(a) v?tikajvara? (b) V?ta curam,
SP55,- - - - - Fever with chills disorder (TM2),"(b) Na?ir curam , (b) Ku?ir curam (c) H?umm? al-Ghibb D?’ira",
SP56,- - - - - High grade fever disorder (TM2),(b) Ce?ka?aic curam (c) H?umm? ‘Uf?niyya,
SP57,- - - - - Intermittent fever disorder (TM2),(a) vi?amajvara? (b) Vi??uvarum curam (c) H?umm? D?’ira,
SP58,- - - - - Continuous fever disorder (TM2),(c) H?umm? L?zima (a) santata (c) H?umm? D?’ima (b) Vi??ccuram,
SP59,- - - - - Fever disorder due to external factor (TM2),(a) ?gantujvara? (b) Pi?ava?i curam (c) H?umm? al-Yawm,
SP5A,- - - - - Inflammation with morbid matter disorder (TM2),(a) vra?a?opha? (b) A?ipa??a v?kka (c) Waram M?dd?,
SP5B,- - - - - Consumptive disorder (TM2),(a) r?jayak?m? (b) I?aippu n?y (c) H?umm? Diqqiyya (c) Diqq,
SP5Y,- - - - - Other specified febricity disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SP5Z,"- - - - - Febricity disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Metabolic disorders (TM2),,Skipped: Invalid or empty code
SP60,- - - - - Diabetes mellitus disorder (TM2),"(a) madhumeha? (b) N?ri?ivu (c) Dhay?b?t?us (a) k?audrameha? (b) i?ippu ma?a n?r , (b) N?ri?ivu (c) D?l?biya , (c) Mu‘at?t?isha , (c) Daww?riyya , (c) Park?riyya",
SP61,- - - - - Emaciation disorder (TM2),(a) k?r?yam (b) Asvatampa v?tam (c) Huz?l,
SP62,- - - - - High fat disorder (TM2),(a) medov?ddhi? (b) Miku ko?uppu n?y,
SP63,- - - - - Polydipsia disorder (TM2),(a) t???? (b) N?r v??kai n?y (c) ‘At?sh Mufrit?,
SP64,- - - - - Obesity disorder (TM2),(a) medoroga? / atisthaulyam (b) Atit?la n?y (c) Siman Mufrit?,
SP6Y,- - - - - Other specified metabolic disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SP6Z,"- - - - - Metabolic disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Tumours disorders (TM2),,Skipped: Invalid or empty code
SP70,- - - - - Lipoma disorder (TM2),(a) medojagranthi (b) Ko?uppu ka?alai (c) Sal‘a Shah?miyya,
SP71,- - - - - Benign tumour disorder (TM2),(a) granthi (b) Na?ma?avaikka??ika? (c) Sal‘?t,
SP72,- - - - - Deep rooted spreading tumour disorder (TM2),(a) arbuda? (b) Vippuruti (c) Sarat?an (b) Pu??u n?yka?,
SP7Y,- - - - - Other specified tumours disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SP7Z,"- - - - - Tumours disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SP90,- - - - Abscess disorder (TM2),(a) vidradhi? (b) Ka??i (c) Khur?j (c) Dubayla,
SP91,- - - - Generalised oedema disorder (TM2),(a) sarvasara-??tha? (b) C?kai (c) Istisq?’ Lah?m? Anasarca (b) ?tal n?y,
SP92,- - - - Oedema disorder (TM2),"(a) ?vayathu?, ?otha? (c) ?dh?ma (b) Va?iaiya n?y",
SP93,- - - - Impaired immunity disorder (TM2),(a) ojovai?amyam (b) Iya?kai va?mai ku?aivu (c) ?u‘f-i-?ar?rat Ghar?ziyya,
SP94,- - - - Inflammation disorder (TM2),"(a) ?opha?, (b) T?pitam, (c) Waram",
SP95,- - - - Excessive yawning disorder (TM2),(a) jr?mbh? (b) Ko???vi (c) Kathra al-Tath?’ub,
SP96,- - - - Laziness disorder (TM2),(a) ?lasyam (c) Law?-o-Fayh?adhaj,
SP97,- - - - Severe fatigue disorder (TM2),(a) klama? (b) A?al c?lai,
SP98,- - - - Syncope disorder (TM2),(a) m?rcch? (b) M?rccai (c) Ghash?,
SP99,- - - - Pruritus disorder (TM2),(a) ka???? (b) Pitta Vi?ap?kam (c) H?ikka,
SP9A,- - - - General debility disorder (TM2),(a) daurbalyam (b) T?ka va?mai ku?aivu (c) ?u‘f-i-‘?m,
SP9Y,- - - - Other specified disorders affecting the whole body (TM2),,Skipped: Invalid or missing entity ID in URL
SP9Z,"- - - - Disorders affecting the whole body (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,"- - - Mental, emotional and behavioural disorders (TM2)",,Skipped: Invalid or empty code
,- - - - Mental disorders (TM2),,Skipped: Invalid or empty code
SQ00,- - - - - Delirium disorder (TM2),(a) atipral?pa? (b) Ca??i n?y (c) Hadhay?n (a) pral?paka?,
SQ01,- - - - - Hallucination disorder (TM2),(a) buddhisa?m?ha? (b) Piramai (c) khiyAlAt-e bAteleh,
SQ02,- - - - - Hysteria disorder (TM2),(b) C?tik?v?tam (c) Ikhtin?q al-Rah?im,
SQ03,- - - - - Insanity disorder (TM2),(a) unm?da? (b) U?matam (c) Jun?n (b) Ve?i (c) Wasw?s (c) waswAs-e sowdAwi,
SQ04,- - - - - Depressive disorder (TM2),(a) kaphaja-unm?da? (b) U?m?ta pittam (c) M?lankh?liy?,
SQ05,"- - - - - Lack of concentration, confusion disorder (TM2)",(a) anavasthitacittatvam (c) Ikhtl?t? al-Dhahn (c) ekhtelAt-e zehn,
SQ0Y,- - - - - Other specified mental disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SQ0Z,"- - - - - Mental disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Emotional disorders (TM2),,Skipped: Invalid or empty code
SQ10,- - - - - Anxiety ephemeral fever disorder (TM2),(a) mana-sant?pa? (b) Paya Curam (c) H?umm? al-Yawm Fikriyya,
SQ1Y,- - - - - Other specified emotional disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SQ1Z,"- - - - - Emotional disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Behavioural disorders (TM2),,Skipped: Invalid or empty code
SQ20,- - - - - Alcoholism disorder (TM2),(a) mad?tyaya? (b) Ku?i ve?i n?y (c) Kathrat-i-Shar?b Nosh? (a) p?n?tyaya?,
SQ21,- - - - - Egomania disorder (TM2),(b) Cerukku n?y (c) Ru‘?nat,
SQ22,- - - - - Non alcoholic intoxication disorder (TM2),(a) mada? (b) Matam,
SQ23,- - - - - Panic attack disorder (TM2),(b) Mayakka n?y (c) Ghash? Nafs?n? (c) Ghash? Az ‘Aw?ri? Nafs?n?,
SQ24,- - - - - Insomnia disorder (TM2),(a) nidr?n??a? (b) U?akkami?mai (c) Sahar (a) asvapna?,
SQ2Y,- - - - - Other specified behavioural disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SQ2Z,"- - - - - Behavioural disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SQ40,- - - - Hypersomnia disorder (TM2),(a) nidr?dhikyam (c) Sub?t (c) sobAt (b) V?ta piramai,
SQ41,- - - - Lycanthropy disorder (TM2),"(a) pittaja-unm?da? (b) Ac?ttiya pittam (c) Qut?rub (c) ‘Illa al-Dhi’b, (c) Jun?n Dhi’b?",
SQ4Y,"- - - - Other specified mental, emotional and behavioural disorders (TM2)",,Skipped: Invalid or missing entity ID in URL
SQ4Z,"- - - - Mental, emotional and behavioural disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - External factors disorders (TM2),,Skipped: Invalid or empty code
,- - - - Infestation disorders (TM2),,Skipped: Invalid or empty code
SQ50,- - - - - Worm infestation disorder (TM2),(a) k?mi? (b) Pu?u n?yka? (c) D?d?n al-Am‘?’ (a) sañj?tak?mi,
SQ5Y,- - - - - Other specified infestation disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SQ5Z,"- - - - - Infestation disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Poisoning disorders (TM2),,Skipped: Invalid or empty code
SQ60,- - - - - Pseudo poisoning disorder (TM2),(a) ?a?khavi?a? (b) Vi?app?ka r?kam,
SQ61,- - - - - Artificial poison disorder (TM2),(a) garavi?a? (b) I?umaruntu nañcu,
SQ6Y,- - - - - Other specified poisoning disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SQ6Z,"- - - - - Poisoning disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SQ80,- - - - Inadequate diet disorders (TM2),(a) h?nam?tr?h?ra? (b) ???accattu ku?aip??u n?yka?,
SQ8Y,- - - - Other specified external factors disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SQ8Z,"- - - - External factors disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - Childhood disorders (TM2),,Skipped: Invalid or empty code
SR00,- - - - Marasmus disorder (TM2),(a) kum?ra?o?a? (b) Vara? ka?am,
SR01,- - - - Bed wetting disorder (TM2),(a) ?ayy?m?tratvam (c) Bawl fi’l Far?sh (b) Palarco??un?r,
SR02,- - - - Infantile dysentry disorder (TM2),(b) M?ntak ka?iccal (c) Zah??r al-At?f?l,
SR03,- - - - Infantile epilepsy disorder (TM2),(a) Skanda Apasmara (b) K?kkai Va?ippu (c) S?ar‘ al-At?f?l,
SR04,- - - - Ophthalmia neonatarum disorder (TM2),(a) kuk??aka? (b) Amaram,
SR05,- - - - Childhood malnutrition disorder (TM2),(a) p?rigarbhika? (b) N?r?makka?am Protein energy malnutrition,
SR06,- - - - Oral thrush in babies disorder (TM2),(b) Kumari akkaram (c) Qul?‘-i-?iby?n,
SR0Y,- - - - Other specified childhood disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SR0Z,"- - - - Childhood disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - Traditional medicine patterns (TM2),,Skipped: Invalid or empty code
,- - - Functional elements and humoral derangement patterns (TM2),,Skipped: Invalid or empty code
SR10,- - - - Vitiation of v?ta pattern (TM2),(a) v?taprakopa?,
SR11,- - - - Accumulation of Vata pattern (TM2),(a) v?tasañcaya?,
SR12,- - - - Aggravation of vata pattern (TM2),(a) v?tav?ddhi? Increased v?ta (TM2),
SR13,- - - - Spreading of vata pattern (TM2),(a) v?taprasara?,
SR14,- - - - Depletion of vata pattern (TM2),(a) v?tak?aya?,
SR15,- - - - Vitiation of pitta pattern (TM2),(a) pittaprakopa?,
SR16,- - - - Accumulation of pitta pattern (TM2),(a) pittasañcaya?,
SR17,- - - - Aggravation of pitta pattern (TM2),(a) pittav?ddhi? Increased pitta (TM2),
SR18,- - - - Spreading of pitta pattern (TM2),(a) pittaprasara?,
SR19,- - - - Depletion of pitta pattern (TM2),pittak?aya?,
SR1A,- - - - Vitiation of kapha pattern (TM2),(a) kaphaprakopa?,
SR1B,- - - - Accumulation of kapha pattern (TM2),(a) kaphasañcaya?,
SR1C,- - - - Aggravation of kapha pattern (TM2),(a) kaphav?ddhi? Increased kapha (TM2),
SR1D,- - - - Spreading of kapha pattern (TM2),(a) kaphaprasara?,
SR1E,- - - - Depletion of kapha pattern (TM2),(a) kaphak?aya?,
SR1F,- - - - Increase of Va?i pattern (TM2),(b) Va?i miku ku?am,
SR1G,- - - - Increase of A?al pattern (TM2),(b) A?al mikuku?am,
SR1H,- - - - Increase of Aiyam pattern (TM2),(b) Aiyam mikuku?am,
SR1J,- - - - Decrease of Va?i pattern (TM2),(b) Va?i ku?ai ku?am,
SR1K,- - - - Decrease of A?al pattern (TM2),(b) A?al ku?aiku?am,
SR1L,- - - - Decrease of Aiyam pattern (TM2),(b) Aiyam ku?aiku?am,
SR1M,- - - - Predominance of Dam pattern (TM2),(c) Ghalaba’-i-Dam,
SR1N,- - - - Predominance of ?afr?’ pattern (TM2),(c) Ghalaba’-i-?afr?’,
SR1P,- - - - Predominance of Balgham pattern (TM2),(c) Ghalaba’-i-Balgham,
SR1Q,- - - - Predominance of Sawd?’ pattern (TM2),(c) Ghalaba’-i-Sawd?’,
SR1R,- - - - Blood thickening pattern (TM2),(c) ghelzat-e khoon (c) Ghil?a al-Dam,
SR1S,- - - - Blood thinning pattern (TM2),(c) reqqat-e khoon (c) Riqqa al-Dam,
SR1T,- - - - Blood deficiency pattern (TM2),(c) qellat-e khoon (c) Qilla al-Dam,
SR1U,- - - - Blood hyperviscosity pattern (TM2),(c) lozoujat-e khoon (c) Luz?ja al-Dam,
SR1V,- - - - Spoilage of humors pattern (TM2),(c) fesAd-e khelt (c) Fas?d-i-Khil?,
